,activity,x-axis,y-axis,z-axis
948851,Jogging,3.83,1.31,-2.49
948852,Jogging,-7.25,18.28,-10.84
948853,Jogging,-15.43,15.05,3.26
948854,Jogging,-10.99,1.73,7.74
948855,Jogging,-4.29,0.46,-3.79
948856,Jogging,3.91,-6.13,5.33
948857,Jogging,9.89,6.21,-5.28
948858,Jogging,3.17,1.08,1.84
948859,Jogging,-7.31,11.11,-1.5
948860,Jogging,-18.54,19.38,4.63
948861,Jogging,-11.73,13.91,-3.02
948862,Jogging,-2.91,8.35,-5.18
948863,Jogging,-1.12,7.89,9.85
948864,Jogging,8.01,6.17,6.36
948865,Jogging,6.85,3.95,2.53
948866,Jogging,0.57,7.59,-3.17
948867,Jogging,-16.74,19.57,-7.59
948868,Jogging,-19.61,12.45,7.5
948869,Jogging,-9.04,0.08,3.3
948870,Jogging,-3.68,-0.08,-1.84
948871,Jogging,6.89,-5.71,6.97
948872,Jogging,10.88,11.54,-6.13
948873,Jogging,6.44,7.27,4.75
948874,Jogging,-15.55,10.99,1.04
948875,Jogging,-19.61,18.81,3.76
948876,Jogging,-14.48,11.03,-4.9
948877,Jogging,-4.33,7.31,6.4
948878,Jogging,-3.3,8.85,4.1
948879,Jogging,5.71,6.51,6.05
948880,Jogging,10.38,4.63,-0.3
948881,Jogging,1.14,11.26,-2.53
948882,Jogging,-18.05,19.57,-9.47
948883,Jogging,-19.61,11.99,10.95
948884,Jogging,-8.47,-0.27,5.71
948885,Jogging,-1.27,-1.14,-1.18
948886,Jogging,10.31,-2.3,0.69
948887,Jogging,5.13,6.82,-8.47
948888,Jogging,2.96,6.55,3.72
948889,Jogging,-19.61,18.85,5.67
948890,Jogging,-18.28,10.99,0.42
948891,Jogging,-7.01,1.54,2.53
948892,Jogging,-7.25,8.58,-1.14
948893,Jogging,2.6,7.74,10.34
948894,Jogging,9.85,7.74,1.46
948895,Jogging,5.63,5.22,-1.33
948896,Jogging,-12.91,18.7,-9.43
948897,Jogging,-19.61,17.2,5.6
948898,Jogging,-14.86,-3.36,11.18
948899,Jogging,-1.99,-1.18,-0.99
948900,Jogging,2.87,-6.59,4.14
948901,Jogging,8.12,1.69,-6.82
948902,Jogging,1.46,2.6,-3.02
948903,Jogging,-11.8,8.05,-7.31
948904,Jogging,-19.61,15.43,10.31
948905,Jogging,-14.98,12.98,10.27
948906,Jogging,-4.79,11.92,-6.02
948907,Jogging,1.99,7.46,8.54
948908,Jogging,7.46,7.35,3.53
948909,Jogging,5.83,4.4,1.95
948910,Jogging,-0.61,9.66,-2.68
948911,Jogging,-18.5,19.57,-9.47
948912,Jogging,-18.62,7.67,8.16
948913,Jogging,-12.11,-3.57,6.97
948914,Jogging,-2.72,-3.02,-6.21
948915,Jogging,10.65,-9.19,18.31
948916,Jogging,2.37,8.39,-14.98
948917,Jogging,-1.88,7.44,-4.99
948918,Jogging,-16.74,13.25,-5.71
948919,Jogging,-19.61,2.03,11.18
948920,Jogging,-17.24,7.25,-1.27
948921,Jogging,-8.43,12.34,4.9
948922,Jogging,-4.06,8.69,4.67
948923,Jogging,5.79,6.09,7.4
948924,Jogging,6.82,6.74,2.72
948925,Jogging,-1.14,8.31,-2.11
948926,Jogging,-19.19,19.38,-4.18
948927,Jogging,-19.61,1.04,11.07
948928,Jogging,-9.19,-5.18,1.88
948929,Jogging,-0.19,-6.09,-4.86
948930,Jogging,11.37,1.38,16.28
948931,Jogging,0.23,7.59,-14.56
948932,Jogging,-1.27,4.48,-2.22
948933,Jogging,-15.75,9.04,-6.21
948934,Jogging,-18.66,3.53,12.11
948935,Jogging,-18.43,10.88,1.33
948936,Jogging,-7.31,11.88,-0.5
948937,Jogging,0.76,7.55,7.7
948938,Jogging,7.78,7.4,3.02
948939,Jogging,6.17,5.6,1.69
948940,Jogging,-5.56,9.62,-3.21
948941,Jogging,-19.61,18.31,-2.6
948942,Jogging,-17.67,-2.53,10.8
948943,Jogging,-5.13,-3.26,-0.11
948944,Jogging,0.11,-4.71,-2.87
948945,Jogging,11.35,-1.04,10.5
948946,Jogging,2.3,2.68,-8.5
948947,Jogging,0.95,0.19,-2.53
948948,Jogging,-17.62,11.22,-6.51
948949,Jogging,-17.69,5.52,10.19
948950,Jogging,-13.48,16.32,4.86
948951,Jogging,-5.67,7.31,0.46
948952,Jogging,1.61,8.2,8.05
948953,Jogging,6.21,7.16,3.06
948954,Jogging,2.49,4.06,-1.31
948955,Jogging,-16.04,16.51,-7.12
948956,Jogging,-19.61,9.92,1.69
948957,Jogging,-10.88,-8.66,9.47
948958,Jogging,-2.26,-5.9,-5.67
948959,Jogging,10.38,-12.26,16.78
948960,Jogging,0.8,5.05,-9.96
948961,Jogging,-2.37,8.77,-6.43
948962,Jogging,-16.78,10.69,-7.08
948963,Jogging,-18.35,-2.68,11.8
948964,Jogging,-19.61,6.47,-4.14
948965,Jogging,-8.5,8.89,-2.49
948966,Jogging,-0.61,9.0,11.88
948967,Jogging,4.25,7.93,2.83
948968,Jogging,5.18,4.06,0.61
948969,Jogging,-8.54,10.23,-2.37
948970,Jogging,-19.61,16.93,-1.73
948971,Jogging,-19.34,-4.48,8.28
948972,Jogging,-7.31,-3.76,0.53
948973,Jogging,0.0,-5.13,-4.44
948974,Jogging,0.0,-5.13,-4.44
948975,Jogging,12.91,-0.46,16.82
948976,Jogging,1.12,2.98,-7.35
948977,Jogging,-4.52,-2.18,-3.15
948978,Jogging,-19.61,7.97,2.03
948979,Jogging,-18.77,7.7,8.16
948980,Jogging,-10.46,9.23,-3.49
948981,Jogging,-1.95,8.05,7.67
948982,Jogging,3.34,9.15,5.33
948983,Jogging,4.99,7.12,0.95
948984,Jogging,-2.87,6.21,-1.65
948985,Jogging,-19.19,16.66,-5.63
948986,Jogging,-18.96,-0.27,4.94
948987,Jogging,-8.12,-8.47,6.09
948988,Jogging,-0.61,-6.32,-4.71
948989,Jogging,12.45,-4.4,18.66
948990,Jogging,-0.3,4.48,-14.14
948991,Jogging,-4.67,6.59,-3.79
948992,Jogging,-18.89,6.09,-4.18
948993,Jogging,-17.62,-4.02,9.15
948994,Jogging,-19.61,6.05,-2.14
948995,Jogging,-9.11,9.47,-1.61
948996,Jogging,1.12,9.51,12.91
948997,Jogging,3.76,9.58,2.79
948998,Jogging,4.18,4.52,1.33
948999,Jogging,-10.65,9.53,-2.79
949000,Jogging,-19.61,12.68,-6.4
949001,Jogging,-15.09,-7.74,10.0
949002,Jogging,-4.99,-7.31,0.69
949003,Jogging,4.4,-7.16,2.53
949004,Jogging,9.08,1.54,10.27
949005,Jogging,0.27,4.4,-10.19
949006,Jogging,-14.79,7.08,-5.18
949007,Jogging,-19.61,-3.57,5.67
949008,Jogging,-19.38,-2.49,0.65
949009,Jogging,-18.24,5.98,-2.14
949010,Jogging,-3.17,9.58,6.82
949011,Jogging,0.19,10.5,5.09
949012,Jogging,4.48,9.28,3.34
949013,Jogging,0.19,3.76,-0.91
949014,Jogging,-18.62,12.45,-3.91
949015,Jogging,-19.61,-3.26,1.27
949016,Jogging,-9.08,-10.11,9.53
949017,Jogging,-0.3,-3.91,-7.55
949018,Jogging,13.63,-6.74,12.57
949019,Jogging,-4.4,8.35,-8.12
949020,Jogging,-1.76,3.02,-2.75
949021,Jogging,-13.57,-1.88,-4.52
949022,Jogging,-19.19,-2.49,6.97
949023,Jogging,-19.42,3.91,4.75
949024,Jogging,-11.3,6.7,-6.24
949025,Jogging,-3.3,9.23,9.04
949026,Jogging,1.84,8.89,4.25
949027,Jogging,3.95,7.63,0.69
949028,Jogging,-2.37,5.37,-1.65
949029,Jogging,-19.34,14.29,-4.02
949030,Jogging,-19.3,-5.52,6.36
949031,Jogging,-8.47,-7.74,6.21
949032,Jogging,-1.04,-5.37,-5.33
949033,Jogging,13.87,-8.2,14.52
949034,Jogging,-1.31,4.1,-7.35
949035,Jogging,-0.76,3.3,-4.33
949036,Jogging,-18.2,4.37,-5.86
949037,Jogging,-18.28,-3.83,7.89
949038,Jogging,-19.61,0.46,1.61
949039,Jogging,-12.07,9.11,-5.28
949040,Jogging,-0.72,9.3,11.26
949041,Jogging,3.68,11.11,3.76
949042,Jogging,3.34,3.38,0.72
949043,Jogging,-12.34,8.24,-2.45
949044,Jogging,-19.61,6.78,-6.78
949045,Jogging,-13.57,-10.46,15.21
949046,Jogging,-3.68,-6.4,-0.46
949047,Jogging,4.48,-7.78,2.18
949048,Jogging,8.92,1.8,9.23
949049,Jogging,1.18,3.53,-10.88
949050,Jogging,-6.85,4.6,-4.1
949051,Jogging,-19.61,-2.87,2.45
949052,Jogging,-19.11,-8.47,8.43
949053,Jogging,-17.5,4.67,7.67
949054,Jogging,-5.2,5.43,-2.68
949055,Jogging,0.19,10.46,11.75
949056,Jogging,2.53,9.62,1.76
949057,Jogging,1.14,1.99,-0.61
949058,Jogging,-18.07,11.18,-1.88
949059,Jogging,-19.61,-5.05,2.45
949060,Jogging,-10.46,-13.02,8.5
949061,Jogging,-1.92,-6.74,-4.48
949062,Jogging,9.15,-5.63,9.15
949063,Jogging,2.45,7.59,1.27
949064,Jogging,-1.14,5.41,-11.95
949065,Jogging,-3.68,-1.12,1.33
949066,Jogging,-19.61,-3.36,-2.45
949067,Jogging,-18.39,-5.2,2.49
949068,Jogging,-12.98,8.47,2.11
949069,Jogging,-4.14,4.9,3.06
949070,Jogging,0.89,8.81,6.21
949071,Jogging,3.06,6.63,2.72
949072,Jogging,-0.89,4.67,-1.95
949073,Jogging,-19.5,14.56,-3.17
949074,Jogging,-18.12,-10.88,7.97
949075,Jogging,-6.47,-9.11,4.6
949076,Jogging,-1.12,-4.75,-4.33
949077,Jogging,14.21,-4.1,13.8
949078,Jogging,-1.08,4.56,-8.05
949079,Jogging,-1.92,4.9,-5.18
949080,Jogging,-12.79,-3.57,-6.13
949081,Jogging,-19.61,-5.82,4.82
949082,Jogging,-18.77,0.76,8.66
949083,Jogging,-9.92,4.99,-10.0
949084,Jogging,-0.38,8.43,12.22
949085,Jogging,2.64,9.77,3.17
949086,Jogging,3.3,5.63,2.26
949087,Jogging,-7.82,5.18,-2.3
949088,Jogging,-19.61,5.48,-1.5
949089,Jogging,-16.09,-12.07,8.16
949090,Jogging,-4.59,-6.51,0.23
949091,Jogging,0.61,-5.79,-4.82
949092,Jogging,13.25,0.69,16.51
949093,Jogging,-0.69,3.3,-13.4
949094,Jogging,-4.44,0.8,-1.92
949095,Jogging,-19.61,-4.63,-0.3
949096,Jogging,-18.12,-8.24,2.76
949097,Jogging,-18.92,4.29,3.72
949098,Jogging,-7.5,7.35,3.72
949099,Jogging,-0.72,12.03,6.78
949100,Jogging,2.22,8.2,1.92
949101,Jogging,2.45,1.73,0.84
949102,Jogging,-14.94,7.93,-0.99
949103,Jogging,-19.61,-4.79,-3.11
949104,Jogging,-11.11,-13.1,12.11
949105,Jogging,-1.53,-7.93,-2.79
949106,Jogging,10.38,-10.46,8.47
949107,Jogging,4.25,4.86,3.57
949108,Jogging,-1.95,3.99,-10.84
949109,Jogging,-10.57,0.53,-2.75
949110,Jogging,-17.39,-9.62,8.62
949111,Jogging,-18.96,-3.79,-0.61
949112,Jogging,-17.69,6.32,5.79
949113,Jogging,-3.83,4.79,3.21
949114,Jogging,-1.73,11.41,7.78
949115,Jogging,2.34,6.85,1.38
949116,Jogging,-0.91,3.15,-0.99
949117,Jogging,-19.23,8.58,-1.23
949118,Jogging,-19.61,-11.22,-1.08
949119,Jogging,-6.66,-12.37,10.38
949120,Jogging,2.83,-8.85,-2.18
949121,Jogging,13.87,-5.67,13.29
949122,Jogging,0.46,2.37,-9.62
949123,Jogging,-7.65,5.9,-8.01
949124,Jogging,-18.39,-1.69,-0.8
949125,Jogging,-13.06,-13.33,11.07
949126,Jogging,-19.42,-4.67,2.83
949127,Jogging,-12.79,5.52,0.15
949128,Jogging,-5.98,8.39,8.54
949129,Jogging,-1.84,9.23,5.37
949130,Jogging,2.07,6.13,4.86
949131,Jogging,-5.67,3.53,-2.37
949132,Jogging,-19.61,2.22,-6.28
949133,Jogging,-16.28,-13.87,10.12
949134,Jogging,-3.79,-7.86,1.99
949135,Jogging,2.45,-4.44,-0.61
949136,Jogging,14.82,-3.26,13.82
949137,Jogging,0.23,1.99,-11.69
949138,Jogging,-1.12,0.89,-2.3
949139,Jogging,-18.24,-6.28,-0.11
949140,Jogging,-14.56,-9.08,8.73
949141,Jogging,-19.53,0.46,4.29
949142,Jogging,-10.57,4.44,-5.01
949143,Jogging,-1.57,10.15,12.98
949144,Jogging,0.5,7.21,2.64
949145,Jogging,2.22,3.06,1.14
949146,Jogging,-11.22,5.75,-2.11
949147,Jogging,-19.61,-0.61,-4.14
949148,Jogging,-14.6,-15.13,9.19
949149,Jogging,-1.8,-7.63,-0.76
949150,Jogging,5.24,-5.75,1.5
949151,Jogging,12.41,4.56,15.05
949152,Jogging,-1.42,2.53,-15.4
949153,Jogging,-6.17,0.04,-2.22
949154,Jogging,-19.3,-5.9,1.46
949155,Jogging,-15.55,-7.4,0.34
949156,Jogging,-19.11,-3.34,-0.3
949157,Jogging,-10.57,2.64,0.72
949158,Jogging,-2.72,9.38,10.8
949159,Jogging,0.65,9.72,2.41
949160,Jogging,2.83,2.15,1.84
949161,Jogging,-13.1,4.4,-1.61
949162,Jogging,-19.61,-7.27,-1.65
949163,Jogging,-12.64,-16.28,8.89
949164,Jogging,-0.65,-6.05,-0.76
949165,Jogging,3.57,-3.53,-1.42
949166,Jogging,13.95,3.76,14.1
949167,Jogging,-0.69,2.3,-10.5
949168,Jogging,-1.42,-2.79,-1.33
949169,Jogging,-18.89,-11.69,-0.46
949170,Jogging,-15.28,-8.81,6.78
949171,Jogging,-19.15,1.5,4.94
949172,Jogging,-11.11,3.45,-1.88
949173,Jogging,-1.5,8.77,10.08
949174,Jogging,-1.5,8.77,10.08
949175,Jogging,0.0,9.58,2.64
949176,Jogging,0.69,3.49,0.11
949177,Jogging,-17.88,6.47,-2.14
949178,Jogging,-19.61,-13.4,-0.99
949179,Jogging,-5.01,-12.22,9.28
949180,Jogging,0.15,-5.9,-1.46
949181,Jogging,9.81,-4.4,6.17
949182,Jogging,9.28,5.43,6.85
949183,Jogging,-3.76,-1.31,-12.37
949184,Jogging,-15.43,-2.64,-1.27
949185,Jogging,-11.41,-14.4,7.78
949186,Jogging,-16.51,-6.28,-3.57
949187,Jogging,-19.61,-3.6,-5.43
949188,Jogging,-4.52,6.36,4.21
949189,Jogging,-7.16,11.14,6.17
949190,Jogging,-0.19,10.23,1.92
949191,Jogging,2.91,4.29,0.08
949192,Jogging,-6.74,2.37,-1.23
949193,Jogging,-19.61,-10.53,-5.6
949194,Jogging,-5.09,-15.05,15.17
949195,Jogging,-1.95,-7.21,-3.36
949196,Jogging,5.41,-5.94,-4.48
949197,Jogging,9.08,8.35,4.82
949198,Jogging,0.08,3.06,-4.71
949199,Jogging,-3.53,-9.77,-5.18
949200,Jogging,-19.61,-14.98,0.72
949201,Jogging,-19.61,-14.98,0.72
949202,Jogging,-19.61,0.38,-1.99
949203,Jogging,-10.61,8.31,1.8
949204,Jogging,-1.65,14.63,5.6
949205,Jogging,0.15,7.27,1.84
949206,Jogging,2.64,0.89,0.65
949207,Jogging,-14.4,2.6,0.46
949208,Jogging,-19.61,-8.96,-5.75
949209,Jogging,-8.01,-12.37,7.21
949210,Jogging,0.04,-7.04,-4.33
949211,Jogging,15.09,0.69,9.92
949212,Jogging,-0.27,4.25,-9.47
949213,Jogging,2.49,0.11,-6.32
949214,Jogging,-8.16,-13.99,-3.41
949215,Jogging,-17.58,-12.49,3.68
949216,Jogging,-19.61,-1.12,-0.69
949217,Jogging,-13.33,6.85,-1.38
949218,Jogging,-3.79,9.34,6.17
949219,Jogging,-0.84,10.5,3.6
949220,Jogging,3.38,4.67,1.69
949221,Jogging,-7.65,1.23,-1.95
949222,Jogging,-19.61,-5.09,-2.26
949223,Jogging,-12.03,-15.98,9.51
949224,Jogging,-1.73,-8.2,-0.5
949225,Jogging,4.63,-5.41,0.15
949226,Jogging,14.06,3.57,11.26
949227,Jogging,1.33,0.46,-11.54
949228,Jogging,-1.31,-5.86,-7.82
949229,Jogging,-18.96,-11.5,12.07
949230,Jogging,-15.09,-6.4,6.21
949231,Jogging,-15.79,2.6,0.8
949232,Jogging,-7.74,3.87,3.15
949233,Jogging,-3.95,7.82,6.7
949234,Jogging,1.57,8.39,3.72
949235,Jogging,-0.89,2.72,-2.56
949236,Jogging,-18.92,2.34,-1.18
949237,Jogging,-18.69,-19.04,4.48
949238,Jogging,-2.45,-10.5,4.67
949239,Jogging,1.69,-4.37,-1.92
949240,Jogging,15.05,0.11,10.15
949241,Jogging,0.8,2.83,-7.78
949242,Jogging,-7.35,-8.12,-2.07
949243,Jogging,-17.58,-8.12,-2.07
949244,Jogging,-14.48,-13.21,3.3
949245,Jogging,-18.92,-6.09,-0.46
949246,Jogging,-12.22,3.3,1.92
949247,Jogging,-6.82,8.62,8.16
949248,Jogging,-2.34,9.28,2.11
949249,Jogging,3.3,4.52,4.25
949250,Jogging,3.3,4.52,4.25
949251,Jogging,-12.53,1.99,-2.79
949252,Jogging,-19.61,-12.3,0.76
949253,Jogging,-13.53,-17.54,4.18
949254,Jogging,-0.8,-8.01,-0.04
949255,Jogging,3.53,-4.99,-0.61
949256,Jogging,10.53,5.28,12.53
949257,Jogging,-0.04,3.17,-11.65
949258,Jogging,-3.64,-4.25,-2.6
949259,Jogging,-18.73,-14.18,0.04
949260,Jogging,-18.66,-10.27,0.27
949261,Jogging,-19.53,-0.99,3.02
949262,Jogging,-7.82,6.28,3.49
949263,Jogging,-4.79,11.18,6.28
949264,Jogging,-1.08,8.16,1.46
949265,Jogging,3.11,2.76,1.5
949266,Jogging,-11.73,1.76,-1.5
949267,Jogging,-19.61,-11.84,-1.76
949268,Jogging,-6.7,-13.25,6.66
949269,Jogging,-6.7,-13.25,6.66
949270,Jogging,-0.23,-5.09,-4.94
949271,Jogging,11.45,0.57,8.31
949272,Jogging,0.69,6.21,-1.99
949273,Jogging,-0.3,-0.23,-7.21
949274,Jogging,-12.26,-15.28,-4.21
949275,Jogging,-15.05,-11.5,7.16
949276,Jogging,-19.53,-2.75,3.91
949277,Jogging,-11.22,2.45,-0.69
949278,Jogging,-6.43,5.52,5.37
949279,Jogging,-1.46,9.3,4.9
949280,Jogging,2.45,5.83,0.93
949281,Jogging,-7.16,1.69,-1.8
949282,Jogging,-19.61,-5.9,-1.14
949283,Jogging,-13.38,-18.47,11.41
949284,Jogging,-2.41,-5.43,1.42
949285,Jogging,2.6,-4.37,-4.37
949286,Jogging,14.75,4.44,14.25
949287,Jogging,1.65,3.3,-14.4
949288,Jogging,-8.69,-1.84,-4.67
949289,Jogging,-19.5,-12.68,2.18
949290,Jogging,-14.94,-9.04,-0.53
949291,Jogging,-18.2,-6.66,2.72
949292,Jogging,-11.5,1.42,-0.46
949293,Jogging,-3.87,8.2,6.59
949294,Jogging,-0.27,11.07,3.87
949295,Jogging,2.03,5.09,1.23
949296,Jogging,-9.72,1.54,-1.53
949297,Jogging,-19.61,-10.84,-1.27
949298,Jogging,-10.95,-17.58,9.89
949299,Jogging,-0.34,-6.02,-0.42
949300,Jogging,8.08,-6.21,3.68
949301,Jogging,8.35,5.05,11.6
949302,Jogging,-4.4,4.02,-15.36
949303,Jogging,-11.92,-0.08,1.04
949304,Jogging,-18.54,-14.67,-0.23
949305,Jogging,-15.85,-9.62,-3.34
949306,Jogging,-14.37,-8.62,-0.84
949307,Jogging,-9.96,4.02,2.22
949308,Jogging,-7.27,7.31,5.48
949309,Jogging,-0.42,7.31,5.18
949310,Jogging,0.34,4.63,1.14
949311,Jogging,-12.34,2.56,-2.83
949312,Jogging,-19.61,-12.53,-1.84
949313,Jogging,-13.17,-17.2,8.96
949314,Jogging,-0.19,-4.33,-1.38
949315,Jogging,6.59,-3.79,2.45
949316,Jogging,10.69,6.21,11.5
949317,Jogging,1.92,2.68,-8.85
949318,Jogging,-3.02,-5.9,-3.6
949319,Jogging,-19.61,-13.59,-1.12
949320,Jogging,-11.88,-10.69,6.93
949321,Jogging,-18.85,-4.18,2.79
949322,Jogging,-11.22,1.18,-0.72
949323,Jogging,-4.71,7.82,8.01
949324,Jogging,-1.18,10.42,4.02
949325,Jogging,2.34,3.87,2.64
949326,Jogging,-8.2,0.8,-1.84
949327,Jogging,-19.61,-9.77,-5.18
949328,Jogging,-8.81,-13.48,11.92
949329,Jogging,-0.08,-5.48,-2.26
949330,Jogging,5.05,-5.24,2.91
949331,Jogging,11.35,4.71,11.92
949332,Jogging,-1.04,0.27,-13.48
949333,Jogging,-14.67,-0.69,-2.83
949334,Jogging,-16.47,-15.51,3.91
949335,Jogging,-16.24,-8.16,-4.1
949336,Jogging,-19.0,-4.25,0.15
949337,Jogging,-7.55,4.63,9.47
949338,Jogging,-4.75,9.11,5.9
949339,Jogging,-0.89,9.89,2.41
949340,Jogging,0.31,3.49,-0.34
949341,Jogging,-16.13,0.57,0.31
949342,Jogging,-19.61,-18.01,-0.46
949343,Jogging,-5.71,-12.79,8.73
949344,Jogging,1.73,-5.2,-5.9
949345,Jogging,1.73,-5.2,-5.9
949346,Jogging,13.18,-1.23,6.4
949347,Jogging,3.99,6.36,1.99
949348,Jogging,-1.18,-0.8,-8.27
949349,Jogging,-15.89,-15.94,-0.91
949350,Jogging,-15.85,-11.03,7.55
949351,Jogging,-18.92,-5.37,2.41
949352,Jogging,-11.6,1.33,-0.65
949353,Jogging,-2.03,9.19,10.84
949354,Jogging,-1.5,8.96,1.38
949355,Jogging,1.99,3.41,1.65
949356,Jogging,-6.89,2.37,-1.08
949357,Jogging,-19.61,-5.94,-3.49
949358,Jogging,-13.72,-17.73,12.07
949359,Jogging,-2.91,-5.52,2.34
949360,Jogging,2.6,-4.44,-3.21
949361,Jogging,13.82,4.52,14.33
949362,Jogging,-1.27,2.6,-16.93
949363,Jogging,-6.51,-2.26,-0.99
949364,Jogging,-19.61,-13.44,-2.26
949365,Jogging,-16.17,-10.95,-2.26
949366,Jogging,-19.42,-7.59,-1.92
949367,Jogging,-12.56,4.37,5.56
949368,Jogging,-5.18,9.34,6.82
949369,Jogging,-0.95,8.54,2.87
949370,Jogging,2.15,4.99,1.42
949371,Jogging,-10.23,0.99,0.46
949372,Jogging,-19.61,-10.19,-3.02
949373,Jogging,-10.27,-16.63,8.77
949374,Jogging,-0.04,-5.18,-2.53
949375,Jogging,8.08,-3.79,2.53
949376,Jogging,8.62,6.85,8.77
949377,Jogging,-2.37,2.91,-13.25
949378,Jogging,-7.7,-10.04,-1.12
949379,Jogging,-14.6,-15.75,7.08
949380,Jogging,-13.78,-7.55,-2.72
949381,Jogging,-15.09,0.53,2.83
949382,Jogging,-5.6,2.34,4.86
949383,Jogging,-5.82,7.21,3.53
949384,Jogging,-0.27,9.28,5.01
949385,Jogging,1.76,3.17,-1.8
949386,Jogging,-16.63,0.72,-1.04
949387,Jogging,-19.61,-18.58,-0.95
949388,Jogging,-8.16,-9.62,11.03
949389,Jogging,-1.88,-4.44,-4.37
949390,Jogging,7.63,-1.99,1.46
949391,Jogging,11.41,7.74,9.51
949392,Jogging,-2.6,2.34,-14.6
949393,Jogging,-8.31,-8.96,-2.11
949394,Jogging,-16.13,-16.74,9.53
949395,Jogging,-13.99,-6.66,-1.14
949396,Jogging,-18.81,-2.72,1.95
949397,Jogging,-6.43,1.69,2.6
949398,Jogging,-7.46,7.97,5.9
949399,Jogging,-3.06,9.0,4.06
949400,Jogging,-0.8,2.18,0.19
949401,Jogging,-17.24,-0.38,-1.33
949402,Jogging,-19.61,-18.2,-0.23
949403,Jogging,-5.82,-12.37,9.7
949404,Jogging,-0.11,-6.02,-2.49
949405,Jogging,6.63,-2.79,4.75
949406,Jogging,11.41,6.02,9.47
949407,Jogging,0.27,1.18,-9.62
949408,Jogging,-11.56,-10.57,-4.18
949409,Jogging,-18.62,-15.17,7.44
